"Beta1","Beta2","Beta3","Beta4","Beta5","Beta6","Beta7","Beta8","method","seed"
-2.03477543,1.02967237,0.80069847,0.32858478,0.14985403,0.09628406,0.00209392,0.00373438,"FedProx (μ=0)",15
-2.30047246,1.27857158,1.02355911,0.45257763,0.39385344,0.07347238,-0.17347958,0.29858364,"Local1",16
-2.04485647,1.20401934,0.85268998,0.5581406,0.18203755,0.1996171,-0.08861274,-0.1535556,"Local2",16
-2.062246237,1.060381885,0.648708838,0.283940936,0.024970313,0.165975129,-0.119950006,-0.006413088,"Local3",16
-2.091310049829,1.1325911154161,0.760539203946555,0.386374654213735,0.122544256345831,0.162372443197802,-0.11864358261164,-0.0048828454675975,"Meta",16
-2.041088363606,1.068723974763,0.760441080956,0.363645222034,0.204315927046,0.129012881908,-0.040663458597,-0.039918352981,"GLORE",16
-2.02642385,1.06952778,0.75363678,0.36766605,0.17389017,0.13691621,-0.06538899,-0.02561342,"FedAvg",16
-2.04918321,1.08140525,0.8188263,0.38751966,0.1990677,0.11933383,-0.10259854,0.03973846,"q-FedAvg",16
-2.02696268,1.06973265,0.75369675,0.36787514,0.17396518,0.13695921,-0.06528684,-0.02577674,"FedAvgM",16
-2.04292383,1.06264762,0.75355875,0.35998412,0.1962686,0.12503632,-0.04531155,-0.04731517,"FedProx (μ=0)",16
-2.19911936,1.07324011,0.71169156,0.54496223,0.33606014,0.22564398,0.21466291,0.04794499,"Local1",17
-1.95300087,1.10455706,0.78266877,0.46726303,0.16074854,0.06925183,0.09462792,-0.05485707,"Local2",17
-2.26895791,1.12882513,0.98216213,0.36815319,0.09118392,0.22178416,0.0385875,-0.07322516,"Local3",17
-2.16870753574826,1.11395067534005,0.886525374246196,0.421728722381365,0.146041844014738,0.178754899098342,0.0797526809892262,-0.0506671133826272,"Meta",17
-1.927959482842,0.976897986208,0.829476978668,0.363458747529,0.173298877479,0.038914409308,-0.068688622865,-0.051933338187,"GLORE",17
-1.96570296,1.00067173,0.83499909,0.37471545,0.15903257,0.07751981,-0.02729256,-0.05174039,"FedAvg",17
-1.98361561,1.02546557,0.82317218,0.40811784,0.1747687,0.08319735,0.00308189,-0.04917886,"q-FedAvg",17
-1.96570242,1.00067129,0.834999,0.37471521,0.15903258,0.07751972,-0.02729272,-0.05174013,"FedAvgM",17
-1.92564537,0.97269738,0.82369223,0.3615678,0.16796061,0.03866556,-0.07178585,-0.05120826,"FedProx (μ=0)",17
-2.32706315,1.1955847,0.75812493,0.68071512,0.23796587,-0.01143357,-0.11645051,-0.02825327,"Local1",18
-2.0851903,1.0230584,0.9037151,0.2649604,0.2862382,0.2537932,-0.1069358,-0.1833858,"Local2",18
-2.19537562,1.23577913,0.86348653,0.4005218,0.16906331,0.06128046,0.01114873,0.07770974,"Local3",18
-2.18270660828641,1.16925970863617,0.859928746731418,0.401817599089016,0.212385063128513,0.105896382974328,-0.0408181607976694,-0.0120265474705573,"Meta",18
-2.060851741114,1.045979066213,0.8365014022,0.46083305786,0.21514600888,0.101964117484,-0.073060563722,0.03229139516,"GLORE",18
